name,description,latitude,longitude
SANAE IV  (South Africa),Upper atmosphere research (e.g. cosmic rays) and Earth sciences (e.g. geology). Permanent,-71.66667,-2.85
San Martín Station (Argentina),Laboratory and Meteorological measurements  Permanent,-68.13333,-67.1
Scott Base (New Zeland),"Antarctic physical environments, Southern Ocean and Antarctic ecosystems.  Permanent",-77.85,166.75
Showa Station (Japan),National Institute of Polar Research Permanent,-69.00611,39.59
St. Kliment Ohridski Base (Bulgaria),"Biological research, laboratorial and meteorological measurements. Permanent",-62.64139,-60.36472
Station W - Detaille Island (United Kingdom),"Survey, geology and meteorology. Abandoned 1959",-66.86945,-66.79014
Svea (Sweden),Swedish Polar Research Secretariat. Summer,-74.58333,-11.21667
Tor Station (Norway),Norwegian Polar Institute. Summer,-71.88889,5.15833
Troll Station (Norway),Norwegian Polar Institute. Permanent,-72.01208,2.53222
Vernadsky Research Base (Ukraine),Ukrainian Antarctic Station. Permanent,-65.23333,-64.25
Vostok Station (Russia),Russian Antarctic Expedition Permanent,-78.46667,106.8
Wasa Station (Sweden),Swedish Polar Research Secretariat.  Summer,-73.05,-13.41667
Zhongshan (Sun Yat-Sen) Station (China),Polar Research Institute of China (PRIC)  Permanent,-69.37889,76.37778
